This file contains the corresponding layer temperatures and pressures.
layer   temp.[K]          press.[10^-6bar]        
BOA     714.897           1e+07                   
0       700.35            9.30572e+06             
1       672.137           8.05842e+06             
2       645.061           6.97831e+06             
3       619.075           6.04296e+06             
4       594.137           5.23299e+06             
5       570.203           4.53158e+06             
6       547.233           3.92419e+06             
7       525.188           3.39821e+06             
8       504.032           2.94273e+06             
9       483.727           2.5483e+06              
10      464.241           2.20673e+06             
11      445.54            1.91095e+06             
12      427.592           1.65482e+06             
13      410.367           1.43301e+06             
14      393.835           1.24094e+06             
15      377.97            1.07461e+06             
16      362.744           930572                  
17      348.132           805842                  
18      334.108           697831                  
19      320.648           604296                  
20      307.732           523299                  
21      296.621           453158                  
22      286.645           392419                  
23      277.774           339821                  
24      269.953           294273                  
25      263.121           254830                  
26      257.197           220673                  
27      252.106           191095                  
28      247.769           165482                  
29      244.101           143301                  
30      241.025           124094                  
31      238.451           107461                  
32      236.318           93057.2                 
33      234.555           80584.2                 
34      233.109           69783.1                 
35      231.917           60429.6                 
36      230.952           52329.9                 
37      230.155           45315.8                 
38      229.513           39241.9                 
39      228.996           33982.1                 
40      228.568           29427.3                 
41      228.223           25483                   
42      227.945           22067.3                 
43      227.721           19109.5                 
44      227.541           16548.2                 
45      227.395           14330.1                 
46      227.278           12409.4                 
47      227.184           10746.1                 
48      227.107           9305.72                 
49      227.046           8058.42                 
50      226.997           6978.31                 
51      226.956           6042.96                 
52      226.923           5232.99                 
53      226.896           4531.58                 
54      226.875           3924.19                 
55      226.858           3398.21                 
56      226.844           2942.73                 
57      226.832           2548.3                  
58      226.823           2206.73                 
59      226.816           1910.95                 
60      226.81            1654.82                 
61      226.806           1433.01                 
62      226.802           1240.94                 
63      226.799           1074.61                 
64      226.796           930.572                 
65      226.794           805.842                 
66      226.793           697.831                 
67      226.791           604.296                 
68      226.79            523.299                 
69      226.79            453.158                 
70      226.789           392.419                 
71      226.788           339.821                 
72      226.788           294.273                 
73      226.787           254.83                  
74      226.787           220.673                 
75      226.787           191.095                 
76      226.787           165.482                 
77      226.787           143.301                 
78      226.787           124.094                 
79      226.786           107.461                 
80      226.786           93.0572                 
81      226.786           80.5842                 
82      226.786           69.7831                 
83      226.786           60.4296                 
84      226.786           52.3299                 
85      226.786           45.3158                 
86      226.786           39.2419                 
87      226.786           33.9821                 
88      226.786           29.4273                 
89      226.786           25.483                  
90      226.786           22.0673                 
91      226.786           19.1095                 
92      226.786           16.5482                 
93      226.786           14.3301                 
94      226.786           12.4094                 
95      226.786           10.7461                 
