This file contains the total pressure and the column mass difference, mean molecular weight and specific heat capacity of each layer.
layer   cent.press.[10^-6bar]   delta_col.mass[g cm^-2]   mean mol. weight     spec.heat cap.[erg mol^-1 K^-1] adiabatic coefficient  entropy [erg g^-1 K^-1]       
0       9.30572e+06             893.571                   2                    2.91006e+08                     0.285714               not_calculated                
1       8.05842e+06             773.801                   2                    2.91006e+08                     0.285714               not_calculated                
2       6.97831e+06             670.084                   2                    2.91006e+08                     0.285714               not_calculated                
3       6.04296e+06             580.269                   2                    2.91006e+08                     0.285714               not_calculated                
4       5.23299e+06             502.492                   2                    2.91006e+08                     0.285714               not_calculated                
5       4.53158e+06             435.14                    2                    2.91006e+08                     0.285714               not_calculated                
6       3.92419e+06             376.816                   2                    2.91006e+08                     0.285714               not_calculated                
7       3.39821e+06             326.309                   2                    2.91006e+08                     0.285714               not_calculated                
8       2.94273e+06             282.572                   2                    2.91006e+08                     0.285714               not_calculated                
9       2.5483e+06              244.697                   2                    2.91006e+08                     0.285714               not_calculated                
10      2.20673e+06             211.899                   2                    2.91006e+08                     0.285714               not_calculated                
11      1.91095e+06             183.497                   2                    2.91006e+08                     0.285714               not_calculated                
12      1.65482e+06             158.902                   2                    2.91006e+08                     0.285714               not_calculated                
13      1.43301e+06             137.603                   2                    2.91006e+08                     0.285714               not_calculated                
14      1.24094e+06             119.16                    2                    2.91006e+08                     0.285714               not_calculated                
15      1.07461e+06             103.188                   2                    2.91006e+08                     0.285714               not_calculated                
16      930572                  89.3571                   2                    2.91006e+08                     0.285714               not_calculated                
17      805842                  77.3801                   2                    2.91006e+08                     0.285714               not_calculated                
18      697831                  67.0084                   2                    2.91006e+08                     0.285714               not_calculated                
19      604296                  58.0269                   2                    2.91006e+08                     0.285714               not_calculated                
20      523299                  50.2492                   2                    2.91006e+08                     0.285714               not_calculated                
21      453158                  43.514                    2                    2.91006e+08                     0.285714               not_calculated                
22      392419                  37.6816                   2                    2.91006e+08                     0.285714               not_calculated                
23      339821                  32.6309                   2                    2.91006e+08                     0.285714               not_calculated                
24      294273                  28.2572                   2                    2.91006e+08                     0.285714               not_calculated                
25      254830                  24.4697                   2                    2.91006e+08                     0.285714               not_calculated                
26      220673                  21.1899                   2                    2.91006e+08                     0.285714               not_calculated                
27      191095                  18.3497                   2                    2.91006e+08                     0.285714               not_calculated                
28      165482                  15.8902                   2                    2.91006e+08                     0.285714               not_calculated                
29      143301                  13.7603                   2                    2.91006e+08                     0.285714               not_calculated                
30      124094                  11.916                    2                    2.91006e+08                     0.285714               not_calculated                
31      107461                  10.3188                   2                    2.91006e+08                     0.285714               not_calculated                
32      93057.2                 8.93571                   2                    2.91006e+08                     0.285714               not_calculated                
33      80584.2                 7.73801                   2                    2.91006e+08                     0.285714               not_calculated                
34      69783.1                 6.70084                   2                    2.91006e+08                     0.285714               not_calculated                
35      60429.6                 5.80269                   2                    2.91006e+08                     0.285714               not_calculated                
36      52329.9                 5.02492                   2                    2.91006e+08                     0.285714               not_calculated                
37      45315.8                 4.3514                    2                    2.91006e+08                     0.285714               not_calculated                
38      39241.9                 3.76816                   2                    2.91006e+08                     0.285714               not_calculated                
39      33982.1                 3.26309                   2                    2.91006e+08                     0.285714               not_calculated                
40      29427.3                 2.82572                   2                    2.91006e+08                     0.285714               not_calculated                
41      25483                   2.44697                   2                    2.91006e+08                     0.285714               not_calculated                
42      22067.3                 2.11899                   2                    2.91006e+08                     0.285714               not_calculated                
43      19109.5                 1.83497                   2                    2.91006e+08                     0.285714               not_calculated                
44      16548.2                 1.58902                   2                    2.91006e+08                     0.285714               not_calculated                
45      14330.1                 1.37603                   2                    2.91006e+08                     0.285714               not_calculated                
46      12409.4                 1.1916                    2                    2.91006e+08                     0.285714               not_calculated                
47      10746.1                 1.03188                   2                    2.91006e+08                     0.285714               not_calculated                
48      9305.72                 0.893571                  2                    2.91006e+08                     0.285714               not_calculated                
49      8058.42                 0.773801                  2                    2.91006e+08                     0.285714               not_calculated                
50      6978.31                 0.670084                  2                    2.91006e+08                     0.285714               not_calculated                
51      6042.96                 0.580269                  2                    2.91006e+08                     0.285714               not_calculated                
52      5232.99                 0.502492                  2                    2.91006e+08                     0.285714               not_calculated                
53      4531.58                 0.43514                   2                    2.91006e+08                     0.285714               not_calculated                
54      3924.19                 0.376816                  2                    2.91006e+08                     0.285714               not_calculated                
55      3398.21                 0.326309                  2                    2.91006e+08                     0.285714               not_calculated                
56      2942.73                 0.282572                  2                    2.91006e+08                     0.285714               not_calculated                
57      2548.3                  0.244697                  2                    2.91006e+08                     0.285714               not_calculated                
58      2206.73                 0.211899                  2                    2.91006e+08                     0.285714               not_calculated                
59      1910.95                 0.183497                  2                    2.91006e+08                     0.285714               not_calculated                
60      1654.82                 0.158902                  2                    2.91006e+08                     0.285714               not_calculated                
61      1433.01                 0.137603                  2                    2.91006e+08                     0.285714               not_calculated                
62      1240.94                 0.11916                   2                    2.91006e+08                     0.285714               not_calculated                
63      1074.61                 0.103188                  2                    2.91006e+08                     0.285714               not_calculated                
64      930.572                 0.0893571                 2                    2.91006e+08                     0.285714               not_calculated                
65      805.842                 0.0773801                 2                    2.91006e+08                     0.285714               not_calculated                
66      697.831                 0.0670084                 2                    2.91006e+08                     0.285714               not_calculated                
67      604.296                 0.0580269                 2                    2.91006e+08                     0.285714               not_calculated                
68      523.299                 0.0502492                 2                    2.91006e+08                     0.285714               not_calculated                
69      453.158                 0.043514                  2                    2.91006e+08                     0.285714               not_calculated                
70      392.419                 0.0376816                 2                    2.91006e+08                     0.285714               not_calculated                
71      339.821                 0.0326309                 2                    2.91006e+08                     0.285714               not_calculated                
72      294.273                 0.0282572                 2                    2.91006e+08                     0.285714               not_calculated                
73      254.83                  0.0244697                 2                    2.91006e+08                     0.285714               not_calculated                
74      220.673                 0.0211899                 2                    2.91006e+08                     0.285714               not_calculated                
75      191.095                 0.0183497                 2                    2.91006e+08                     0.285714               not_calculated                
76      165.482                 0.0158902                 2                    2.91006e+08                     0.285714               not_calculated                
77      143.301                 0.0137603                 2                    2.91006e+08                     0.285714               not_calculated                
78      124.094                 0.011916                  2                    2.91006e+08                     0.285714               not_calculated                
79      107.461                 0.0103188                 2                    2.91006e+08                     0.285714               not_calculated                
80      93.0572                 0.00893571                2                    2.91006e+08                     0.285714               not_calculated                
81      80.5842                 0.00773801                2                    2.91006e+08                     0.285714               not_calculated                
82      69.7831                 0.00670084                2                    2.91006e+08                     0.285714               not_calculated                
83      60.4296                 0.00580269                2                    2.91006e+08                     0.285714               not_calculated                
84      52.3299                 0.00502492                2                    2.91006e+08                     0.285714               not_calculated                
85      45.3158                 0.0043514                 2                    2.91006e+08                     0.285714               not_calculated                
86      39.2419                 0.00376816                2                    2.91006e+08                     0.285714               not_calculated                
87      33.9821                 0.00326309                2                    2.91006e+08                     0.285714               not_calculated                
88      29.4273                 0.00282572                2                    2.91006e+08                     0.285714               not_calculated                
89      25.483                  0.00244697                2                    2.91006e+08                     0.285714               not_calculated                
90      22.0673                 0.00211899                2                    2.91006e+08                     0.285714               not_calculated                
91      19.1095                 0.00183497                2                    2.91006e+08                     0.285714               not_calculated                
92      16.5482                 0.00158902                2                    2.91006e+08                     0.285714               not_calculated                
93      14.3301                 0.00137603                2                    2.91006e+08                     0.285714               not_calculated                
94      12.4094                 0.0011916                 2                    2.91006e+08                     0.285714               not_calculated                
95      10.7461                 0.00103188                2                    2.91006e+08                     0.285714               not_calculated                
