This file contains the cloud optical depth for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   cloud_delta_tau[0]   cloud_delta_tau[1]   cloud_delta_tau[2]   cloud_delta_tau[3]   cloud_delta_tau[4]   cloud_delta_tau[5]   cloud_delta_tau[6]   cloud_delta_tau[7]   cloud_delta_tau[8]   cloud_delta_tau[9]   cloud_delta_tau[10]   cloud_delta_tau[11]   cloud_delta_tau[12]   cloud_delta_tau[13]   cloud_delta_tau[14]   cloud_delta_tau[15]   cloud_delta_tau[16]   cloud_delta_tau[17]   cloud_delta_tau[18]   cloud_delta_tau[19]   cloud_delta_tau[20]   cloud_delta_tau[21]   cloud_delta_tau[22]   cloud_delta_tau[23]   cloud_delta_tau[24]   cloud_delta_tau[25]   cloud_delta_tau[26]   cloud_delta_tau[27]   cloud_delta_tau[28]   cloud_delta_tau[29]   cloud_delta_tau[30]   cloud_delta_tau[31]   cloud_delta_tau[32]   cloud_delta_tau[33]   cloud_delta_tau[34]   cloud_delta_tau[35]   cloud_delta_tau[36]   cloud_delta_tau[37]   cloud_delta_tau[38]   cloud_delta_tau[39]   cloud_delta_tau[40]   cloud_delta_tau[41]   cloud_delta_tau[42]   cloud_delta_tau[43]   cloud_delta_tau[44]   cloud_delta_tau[45]   cloud_delta_tau[46]   cloud_delta_tau[47]   cloud_delta_tau[48]   cloud_delta_tau[49]   cloud_delta_tau[50]   cloud_delta_tau[51]   cloud_delta_tau[52]   cloud_delta_tau[53]   cloud_delta_tau[54]   cloud_delta_tau[55]   cloud_delta_tau[56]   cloud_delta_tau[57]   cloud_delta_tau[58]   cloud_delta_tau[59]   cloud_delta_tau[60]   cloud_delta_tau[61]   cloud_delta_tau[62]   cloud_delta_tau[63]   cloud_delta_tau[64]   cloud_delta_tau[65]   cloud_delta_tau[66]   cloud_delta_tau[67]   cloud_delta_tau[68]   cloud_delta_tau[69]   cloud_delta_tau[70]   cloud_delta_tau[71]   cloud_delta_tau[72]   cloud_delta_tau[73]   cloud_delta_tau[74]   cloud_delta_tau[75]   cloud_delta_tau[76]   cloud_delta_tau[77]   cloud_delta_tau[78]   cloud_delta_tau[79]   cloud_delta_tau[80]   cloud_delta_tau[81]   cloud_delta_tau[82]   cloud_delta_tau[83]   cloud_delta_tau[84]   cloud_delta_tau[85]   cloud_delta_tau[86]   cloud_delta_tau[87]   cloud_delta_tau[88]   cloud_delta_tau[89]   cloud_delta_tau[90]   cloud_delta_tau[91]   cloud_delta_tau[92]   cloud_delta_tau[93]   cloud_delta_tau[94]   cloud_delta_tau[95]   
0       0.01              0.00899745971        0.00200508058      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
1       0.0120050806      0.0110025403         0.00220609798      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
2       0.014412196       0.0132086383         0.00264843841      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
3       0.0173019574      0.0158570767         0.00317947165      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
4       0.0207711393      0.0190365483         0.00381698133      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
5       0.02493592        0.0228535297         0.00458231684      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
6       0.0299357729      0.0274358465         0.00550110829      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
7       0.0359381366      0.0329369548         0.00660412483      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
8       0.0431440226      0.0395410796         0.00792830508      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
9       0.0517947468      0.0474693847         0.00951799413      0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     0                     
