This file contains the Rosseland and Planck mean opacities of layers & optical depths summed up to a certain layer, weighted either by the blackbody function with the stellar or the planetary atmospheric temperature.
Mean opacity given in [cm^2 g^-1].
layer     press.[10^-6bar]    Planck_opac_T_lay   Ross_opac_T_lay     Planck_opac_T_star  Ross_opac_T_star    Planck_tau_T_lay    Ross_tau_T_lay      Planck_tau_T_star   Ross_tau_T_star     
0       9.30572e+06         0.021706            nan                 temp_too_low        temp_too_low        99.8994             temp_too_low        temp_too_low        temp_too_low        
1       8.05842e+06         0.0201998           nan                 temp_too_low        temp_too_low        80.5035             temp_too_low        temp_too_low        temp_too_low        
2       6.97831e+06         0.0187974           nan                 temp_too_low        temp_too_low        64.8729             temp_too_low        temp_too_low        temp_too_low        
3       6.04296e+06         0.0174916           nan                 temp_too_low        temp_too_low        52.2771             temp_too_low        temp_too_low        temp_too_low        
4       5.23299e+06         0.0162781           nan                 temp_too_low        temp_too_low        42.1273             temp_too_low        temp_too_low        temp_too_low        
5       4.53158e+06         0.0151464           nan                 temp_too_low        temp_too_low        33.9477             temp_too_low        temp_too_low        temp_too_low        
6       3.92419e+06         0.0140963           nan                 temp_too_low        temp_too_low        27.3569             temp_too_low        temp_too_low        temp_too_low        
7       3.39821e+06         0.013117            nan                 temp_too_low        temp_too_low        22.0452             temp_too_low        temp_too_low        temp_too_low        
8       2.94273e+06         0.0122066           nan                 temp_too_low        temp_too_low        17.765              temp_too_low        temp_too_low        temp_too_low        
9       2.5483e+06          0.0113592           nan                 temp_too_low        temp_too_low        14.3157             temp_too_low        temp_too_low        temp_too_low        
10      2.20673e+06         0.0105701           nan                 temp_too_low        temp_too_low        11.5362             temp_too_low        temp_too_low        temp_too_low        
11      1.91095e+06         0.00983682          nan                 temp_too_low        temp_too_low        9.29639             temp_too_low        temp_too_low        temp_too_low        
12      1.65482e+06         0.00915299          nan                 temp_too_low        temp_too_low        7.49136             temp_too_low        temp_too_low        temp_too_low        
13      1.43301e+06         0.00851831          nan                 temp_too_low        temp_too_low        6.03693             temp_too_low        temp_too_low        temp_too_low        
14      1.24094e+06         0.00792657          nan                 temp_too_low        temp_too_low        4.86479             temp_too_low        temp_too_low        temp_too_low        
15      1.07461e+06         0.00737638          nan                 temp_too_low        temp_too_low        3.92026             temp_too_low        temp_too_low        temp_too_low        
16      930572              0.00686435          nan                 temp_too_low        temp_too_low        3.15911             temp_too_low        temp_too_low        temp_too_low        
17      805842              0.00638741          nan                 temp_too_low        temp_too_low        2.54573             temp_too_low        temp_too_low        temp_too_low        
18      697831              0.00594436          nan                 temp_too_low        temp_too_low        2.05147             temp_too_low        temp_too_low        temp_too_low        
19      604296              0.00553116          nan                 temp_too_low        temp_too_low        1.65315             temp_too_low        temp_too_low        temp_too_low        
20      523299              0.00514757          nan                 temp_too_low        temp_too_low        1.33219             temp_too_low        temp_too_low        temp_too_low        
21      453158              0.00479002          nan                 temp_too_low        temp_too_low        1.07353             temp_too_low        temp_too_low        temp_too_low        
22      392419              0.0044575           nan                 temp_too_low        temp_too_low        0.865096            temp_too_low        temp_too_low        temp_too_low        
23      339821              0.00414811          nan                 temp_too_low        temp_too_low        0.697131            temp_too_low        temp_too_low        temp_too_low        
24      294273              0.00385986          nan                 temp_too_low        temp_too_low        0.561774            temp_too_low        temp_too_low        temp_too_low        
25      254830              0.00359216          nan                 temp_too_low        temp_too_low        0.452705            temp_too_low        temp_too_low        temp_too_low        
26      220673              0.00334248          nan                 temp_too_low        temp_too_low        0.364806            temp_too_low        temp_too_low        temp_too_low        
27      191095              0.00311065          nan                 temp_too_low        temp_too_low        0.293979            temp_too_low        temp_too_low        temp_too_low        
28      165482              0.00289461          nan                 temp_too_low        temp_too_low        0.236899            temp_too_low        temp_too_low        temp_too_low        
29      143301              0.00269364          nan                 temp_too_low        temp_too_low        0.190903            temp_too_low        temp_too_low        temp_too_low        
30      124094              0.0025067           nan                 temp_too_low        temp_too_low        0.153838            temp_too_low        temp_too_low        temp_too_low        
31      107461              0.00233248          nan                 temp_too_low        temp_too_low        0.123968            temp_too_low        temp_too_low        temp_too_low        
32      93057.2             0.00217073          nan                 temp_too_low        temp_too_low        0.0998999           temp_too_low        temp_too_low        temp_too_low        
33      80584.2             0.00201987          nan                 temp_too_low        temp_too_low        0.0805029           temp_too_low        temp_too_low        temp_too_low        
34      69783.1             0.00187975          nan                 temp_too_low        temp_too_low        0.0648732           temp_too_low        temp_too_low        temp_too_low        
35      60429.6             0.00174921          nan                 temp_too_low        temp_too_low        0.0522773           temp_too_low        temp_too_low        temp_too_low        
36      52329.9             0.00162775          nan                 temp_too_low        temp_too_low        0.0421272           temp_too_low        temp_too_low        temp_too_low        
37      45315.8             0.00151479          nan                 temp_too_low        temp_too_low        0.0339479           temp_too_low        temp_too_low        temp_too_low        
38      39241.9             0.0014095           nan                 temp_too_low        temp_too_low        0.0273564           temp_too_low        temp_too_low        temp_too_low        
39      33982.1             0.00131176          nan                 temp_too_low        temp_too_low        0.0220452           temp_too_low        temp_too_low        temp_too_low        
40      29427.3             0.00122061          nan                 temp_too_low        temp_too_low        0.0177648           temp_too_low        temp_too_low        temp_too_low        
41      25483               0.00113592          nan                 temp_too_low        temp_too_low        0.0143157           temp_too_low        temp_too_low        temp_too_low        
42      22067.3             0.00105705          nan                 temp_too_low        temp_too_low        0.0115361           temp_too_low        temp_too_low        temp_too_low        
43      19109.5             0.000983637         nan                 temp_too_low        temp_too_low        0.00929625          temp_too_low        temp_too_low        temp_too_low        
44      16548.2             0.000915384         nan                 temp_too_low        temp_too_low        0.00749131          temp_too_low        temp_too_low        temp_too_low        
45      14330.1             0.00085175          nan                 temp_too_low        temp_too_low        0.00603675          temp_too_low        temp_too_low        temp_too_low        
46      12409.4             0.000792693         nan                 temp_too_low        temp_too_low        0.00486471          temp_too_low        temp_too_low        temp_too_low        
47      10746.1             0.000737613         nan                 temp_too_low        temp_too_low        0.00392014          temp_too_low        temp_too_low        temp_too_low        
48      9305.72             0.000686432         nan                 temp_too_low        temp_too_low        0.00315901          temp_too_low        temp_too_low        temp_too_low        
49      8058.42             0.000638772         nan                 temp_too_low        temp_too_low        0.00254564          temp_too_low        temp_too_low        temp_too_low        
50      6978.31             0.000594405         nan                 temp_too_low        temp_too_low        0.00205136          temp_too_low        temp_too_low        temp_too_low        
51      6042.96             0.000553164         nan                 temp_too_low        temp_too_low        0.00165305          temp_too_low        temp_too_low        temp_too_low        
52      5232.99             0.000514705         nan                 temp_too_low        temp_too_low        0.00133207          temp_too_low        temp_too_low        temp_too_low        
53      4531.58             0.000479021         nan                 temp_too_low        temp_too_low        0.00107343          temp_too_low        temp_too_low        temp_too_low        
54      3924.19             0.000445739         nan                 temp_too_low        temp_too_low        0.000864994         temp_too_low        temp_too_low        temp_too_low        
55      3398.21             0.000414807         nan                 temp_too_low        temp_too_low        0.000697032         temp_too_low        temp_too_low        temp_too_low        
56      2942.73             0.000386009         nan                 temp_too_low        temp_too_low        0.000561677         temp_too_low        temp_too_low        temp_too_low        
57      2548.3              0.000359194         nan                 temp_too_low        temp_too_low        0.000452602         temp_too_low        temp_too_low        temp_too_low        
58      2206.73             0.000334276         nan                 temp_too_low        temp_too_low        0.000364708         temp_too_low        temp_too_low        temp_too_low        
59      1910.95             0.000311036         nan                 temp_too_low        temp_too_low        0.000293875         temp_too_low        temp_too_low        temp_too_low        
60      1654.82             0.00028947          nan                 temp_too_low        temp_too_low        0.000236801         temp_too_low        temp_too_low        temp_too_low        
61      1433.01             0.00026936          nan                 temp_too_low        temp_too_low        0.000190803         temp_too_low        temp_too_low        temp_too_low        
62      1240.94             0.000250665         nan                 temp_too_low        temp_too_low        0.000153739         temp_too_low        temp_too_low        temp_too_low        
63      1074.61             0.000233264         nan                 temp_too_low        temp_too_low        0.000123869         temp_too_low        temp_too_low        temp_too_low        
64      930.572             0.000217059         nan                 temp_too_low        temp_too_low        9.97993e-05         temp_too_low        temp_too_low        temp_too_low        
65      805.842             0.000202002         nan                 temp_too_low        temp_too_low        8.04036e-05         temp_too_low        temp_too_low        temp_too_low        
66      697.831             0.000187959         nan                 temp_too_low        temp_too_low        6.47726e-05         temp_too_low        temp_too_low        temp_too_low        
67      604.296             0.000174925         nan                 temp_too_low        temp_too_low        5.21778e-05         temp_too_low        temp_too_low        temp_too_low        
68      523.299             0.000162774         nan                 temp_too_low        temp_too_low        4.20274e-05         temp_too_low        temp_too_low        temp_too_low        
69      453.158             0.000151476         nan                 temp_too_low        temp_too_low        3.38481e-05         temp_too_low        temp_too_low        temp_too_low        
70      392.419             0.000140961         nan                 temp_too_low        temp_too_low        2.72568e-05         temp_too_low        temp_too_low        temp_too_low        
71      339.821             0.000131167         nan                 temp_too_low        temp_too_low        2.19452e-05         temp_too_low        temp_too_low        temp_too_low        
72      294.273             0.000122069         nan                 temp_too_low        temp_too_low        1.76651e-05         temp_too_low        temp_too_low        temp_too_low        
73      254.83              0.000113584         nan                 temp_too_low        temp_too_low        1.42158e-05         temp_too_low        temp_too_low        temp_too_low        
74      220.673             0.000105707         nan                 temp_too_low        temp_too_low        1.14364e-05         temp_too_low        temp_too_low        temp_too_low        
75      191.095             9.83645e-05         nan                 temp_too_low        temp_too_low        9.19648e-06         temp_too_low        temp_too_low        temp_too_low        
76      165.482             9.15357e-05         nan                 temp_too_low        temp_too_low        7.39152e-06         temp_too_low        temp_too_low        temp_too_low        
77      143.301             8.51826e-05         nan                 temp_too_low        temp_too_low        5.937e-06           temp_too_low        temp_too_low        temp_too_low        
78      124.094             7.92631e-05         nan                 temp_too_low        temp_too_low        4.76486e-06         temp_too_low        temp_too_low        temp_too_low        
79      107.461             7.37658e-05         nan                 temp_too_low        temp_too_low        3.82037e-06         temp_too_low        temp_too_low        temp_too_low        
80      93.0572             6.86389e-05         nan                 temp_too_low        temp_too_low        3.05919e-06         temp_too_low        temp_too_low        temp_too_low        
81      80.5842             6.3878e-05          nan                 temp_too_low        temp_too_low        2.44585e-06         temp_too_low        temp_too_low        temp_too_low        
82      69.7831             5.94416e-05         nan                 temp_too_low        temp_too_low        1.95156e-06         temp_too_low        temp_too_low        temp_too_low        
83      60.4296             5.53144e-05         nan                 temp_too_low        temp_too_low        1.55326e-06         temp_too_low        temp_too_low        temp_too_low        
84      52.3299             5.14757e-05         nan                 temp_too_low        temp_too_low        1.23228e-06         temp_too_low        temp_too_low        temp_too_low        
85      45.3158             4.7898e-05          nan                 temp_too_low        temp_too_low        9.73623e-07         temp_too_low        temp_too_low        temp_too_low        
86      39.2419             4.45764e-05         nan                 temp_too_low        temp_too_low        7.65199e-07         temp_too_low        temp_too_low        temp_too_low        
87      33.9821             4.14785e-05         nan                 temp_too_low        temp_too_low        5.97228e-07         temp_too_low        temp_too_low        temp_too_low        
88      29.4273             3.86011e-05         nan                 temp_too_low        temp_too_low        4.6188e-07          temp_too_low        temp_too_low        temp_too_low        
89      25.483              3.59205e-05         nan                 temp_too_low        temp_too_low        3.52804e-07         temp_too_low        temp_too_low        temp_too_low        
90      22.0673             3.34262e-05         nan                 temp_too_low        temp_too_low        2.64907e-07         temp_too_low        temp_too_low        temp_too_low        
91      19.1095             3.11066e-05         nan                 temp_too_low        temp_too_low        1.94078e-07         temp_too_low        temp_too_low        temp_too_low        
92      16.5482             2.89444e-05         nan                 temp_too_low        temp_too_low        1.36998e-07         temp_too_low        temp_too_low        temp_too_low        
93      14.3301             2.69374e-05         nan                 temp_too_low        temp_too_low        9.10048e-08         temp_too_low        temp_too_low        temp_too_low        
94      12.4094             2.50655e-05         nan                 temp_too_low        temp_too_low        5.39381e-08         temp_too_low        temp_too_low        temp_too_low        
95      10.7461             2.33265e-05         nan                 temp_too_low        temp_too_low        2.40701e-08         temp_too_low        temp_too_low        temp_too_low        
