This file contains the Planck (blackbody) function at each interface. 
Planck function given in [erg s^-1 cm^-3 sr^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   B_int[0]   B_int[1]   B_int[2]   B_int[3]   B_int[4]   B_int[5]   B_int[6]   B_int[7]   B_int[8]   B_int[9]   B_int[10]   B_int[11]   B_int[12]   B_int[13]   B_int[14]   B_int[15]   B_int[16]   B_int[17]   B_int[18]   B_int[19]   B_int[20]   B_int[21]   B_int[22]   B_int[23]   B_int[24]   B_int[25]   B_int[26]   B_int[27]   B_int[28]   B_int[29]   B_int[30]   B_int[31]   B_int[32]   B_int[33]   B_int[34]   B_int[35]   B_int[36]   B_int[37]   B_int[38]   B_int[39]   B_int[40]   B_int[41]   B_int[42]   B_int[43]   B_int[44]   B_int[45]   B_int[46]   B_int[47]   B_int[48]   B_int[49]   B_int[50]   B_int[51]   B_int[52]   B_int[53]   B_int[54]   B_int[55]   B_int[56]   B_int[57]   B_int[58]   B_int[59]   B_int[60]   B_int[61]   B_int[62]   B_int[63]   B_int[64]   B_int[65]   B_int[66]   B_int[67]   B_int[68]   B_int[69]   B_int[70]   B_int[71]   B_int[72]   B_int[73]   B_int[74]   B_int[75]   B_int[76]   B_int[77]   B_int[78]   B_int[79]   B_int[80]   B_int[81]   B_int[82]   B_int[83]   B_int[84]   B_int[85]   B_int[86]   B_int[87]   B_int[88]   B_int[89]   B_int[90]   B_int[91]   B_int[92]   B_int[93]   B_int[94]   B_int[95]   B_int[96]   
0       0.01              0.00899745971        0.00200508058      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
1       0.0120050806      0.0110025403         0.00220609798      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
2       0.014412196       0.0132086383         0.00264843841      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
3       0.0173019574      0.0158570767         0.00317947165      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
4       0.0207711393      0.0190365483         0.00381698133      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
5       0.02493592        0.0228535297         0.00458231684      1.40643e-298    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
6       0.0299357729      0.0274358465         0.00550110829      1.09667e-245    1.41592e-256    3.04733e-268    3.11139e-280    6.07826e-293    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
7       0.0359381366      0.0329369548         0.00660412483      1.11544e-201    9.31229e-211    1.79338e-220    1.77312e-230    4.69453e-241    6.59486e-252    2.00707e-263    3.68531e-275    1.21849e-287    2.68236e-300    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
8       0.0431440226      0.0395410796         0.00792830508      4.50706e-165    1.21592e-172    9.85508e-181    4.42778e-189    6.94832e-198    6.13757e-207    1.60025e-216    2.57212e-226    1.05188e-236    2.80619e-247    1.8514e-258     2.10581e-270    2.04737e-282    2.81601e-295    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
9       0.0517947468      0.0474693847         0.00951799413      1.24517e-134    6.08861e-141    1.10884e-147    1.20418e-154    5.63081e-162    1.57488e-169    1.66178e-177    1.11515e-185    2.50908e-194    3.68606e-203    1.78184e-212    2.1202e-222     2.02763e-232    4.01205e-243    9.05665e-254    4.03896e-265    3.41817e-277    2.87455e-289    2.4907e-302     0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
10      0.0621800109      0.0569873788         0.0114264286       2.5169e-109     1.37736e-114    3.34409e-120    5.18198e-126    4.07714e-132    2.03735e-138    4.6631e-145     7.0476e-152     4.44564e-159    1.86301e-166    3.21458e-174    1.81729e-182    7.96836e-191    9.8535e-200     1.23717e-208    4.19867e-218    3.82762e-228    2.90977e-238    3.49714e-249    3.749e-260      4.82139e-272    1.50307e-283    4.0644e-294     7.6833e-305     0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
11      0.0746476041      0.0684138075         0.0137175197       2.68107e-88     1.09847e-92     2.30309e-97     3.27901e-102    2.6999e-107     1.49513e-112    4.42024e-118    8.99025e-124    9.07512e-130    6.26193e-136    2.12054e-142    2.95417e-149    3.1453e-156     1.21344e-163    4.37827e-171    5.50704e-179    2.45264e-187    8.16497e-196    6.25771e-205    4.50671e-214    6.27533e-224    1.61645e-233    2.3108e-242     2.77326e-251    2.92012e-259    2.56627e-267    5.33626e-274    1.02537e-280    1.01122e-285    1.22398e-290    1.70765e-295    2.02315e-298    2.39642e-301    5.50618e-304    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
12      0.0896150502      0.0821313271         0.0164679929       7.79652e-71     1.71034e-74     2.15781e-78     1.95425e-82     1.1349e-86      4.67468e-91     1.16041e-95     2.06624e-100    2.094e-105      1.50225e-110    6.07028e-116    1.20822e-121    1.8394e-127     1.24133e-133    7.42612e-140    1.90189e-146    2.14243e-153    1.70799e-160    4.30688e-168    1.00351e-175    6.70333e-184    6.82114e-192    2.68506e-199    1.07143e-206    2.29632e-213    4.8349e-220     1.25193e-225    3.34914e-231    2.06623e-235    1.65045e-239    1.61115e-243    5.21353e-246    1.72019e-248    1.11466e-250    1.10328e-252    9.58478e-255    2.79205e-255    4.30837e-257    2.32318e-257    7.24261e-258    1.96703e-259    1.54213e-259    1.19968e-259    9.23743e-260    7.0167e-260     5.22474e-260    3.77909e-260    2.61925e-260    1.6793e-260     9.20753e-261    3.16105e-261    7.88096e-262    7.73391e-262    7.61469e-262    7.51931e-262    7.4438e-262     7.3822e-262     7.33054e-262    7.28881e-262    7.25702e-262    7.23119e-262    7.21132e-262    7.19542e-262    7.18151e-262    7.16959e-262    7.15965e-262    7.15369e-262    7.14773e-262    7.14177e-262    7.13978e-262    7.13779e-262    7.13382e-262    7.13183e-262    7.12985e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12786e-262    7.12587e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    7.12388e-262    
13      0.10758359        0.09859932           0.0197699582       2.4363e-56      2.1638e-59      1.21624e-62     5.15433e-66     1.52086e-69     3.34022e-73     4.86725e-77     5.29864e-81     3.65893e-85     1.85723e-89     5.91882e-94     1.07091e-98     1.49937e-103    1.09348e-108    6.85426e-114    2.16976e-119    3.57696e-125    4.11565e-131    1.93544e-137    8.09301e-144    1.31921e-150    2.86873e-157    1.8113e-163     1.31837e-169    3.49482e-175    1.02761e-180    2.18076e-185    5.21099e-190    1.48884e-193    5.72356e-197    2.8108e-200     2.11495e-202    1.65548e-204    2.52098e-206    5.89206e-208    1.23742e-209    3.67949e-210    1.37532e-211    7.4653e-212     2.40085e-212    1.57625e-213    1.23791e-213    9.65229e-214    7.45509e-214    5.68679e-214    4.25991e-214    3.10877e-214    2.18523e-214    1.43678e-214    8.32765e-215    3.51302e-215    1.61194e-215    1.58202e-215    1.55776e-215    1.53836e-215    1.523e-215      1.51046e-215    1.49995e-215    1.49146e-215    1.48499e-215    1.47974e-215    1.4757e-215     1.47246e-215    1.46963e-215    1.46721e-215    1.46519e-215    1.46397e-215    1.46276e-215    1.46155e-215    1.46114e-215    1.46074e-215    1.45993e-215    1.45953e-215    1.45912e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45872e-215    1.45831e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    1.45791e-215    
