This file contains the upward spectral flux (per wavelength) at each interface. 
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_up[0]   F_up[1]   F_up[2]   F_up[3]   F_up[4]   F_up[5]   F_up[6]   F_up[7]   F_up[8]   F_up[9]   F_up[10]   F_up[11]   F_up[12]   F_up[13]   F_up[14]   F_up[15]   F_up[16]   F_up[17]   F_up[18]   F_up[19]   F_up[20]   F_up[21]   F_up[22]   F_up[23]   F_up[24]   F_up[25]   F_up[26]   F_up[27]   F_up[28]   F_up[29]   F_up[30]   F_up[31]   F_up[32]   F_up[33]   F_up[34]   F_up[35]   F_up[36]   F_up[37]   F_up[38]   F_up[39]   F_up[40]   F_up[41]   F_up[42]   F_up[43]   F_up[44]   F_up[45]   F_up[46]   F_up[47]   F_up[48]   F_up[49]   F_up[50]   F_up[51]   F_up[52]   F_up[53]   F_up[54]   F_up[55]   F_up[56]   F_up[57]   F_up[58]   F_up[59]   F_up[60]   F_up[61]   F_up[62]   F_up[63]   F_up[64]   F_up[65]   F_up[66]   F_up[67]   F_up[68]   F_up[69]   F_up[70]   F_up[71]   F_up[72]   F_up[73]   F_up[74]   F_up[75]   F_up[76]   F_up[77]   F_up[78]   F_up[79]   F_up[80]   F_up[81]   F_up[82]   F_up[83]   F_up[84]   F_up[85]   F_up[86]   F_up[87]   F_up[88]   F_up[89]   F_up[90]   F_up[91]   F_up[92]   F_up[93]   F_up[94]   F_up[95]   F_up[96]   
0       0.01              0.00899745971        0.00200508058      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1       0.0120050806      0.0110025403         0.00220609798      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2       0.014412196       0.0132086383         0.00264843841      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3       0.0173019574      0.0158570767         0.00317947165      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4       0.0207711393      0.0190365483         0.00381698133      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5       0.02493592        0.0228535297         0.00458231684      5.53155414e-298 2.27666815e-307 5.85961856e-321 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6       0.0299357729      0.0274358465         0.00550110829      4.24636645e-245 8.68863972e-252 5.93998437e-263 1.20584708e-273 1.81184348e-282 1.40137925e-289 2.60674683e-295 6.28044096e-300 1.19302634e-303 1.19618935e-306 4.58326739e-309 5.17385061e-311 1.39469542e-312 7.58428667e-314 7.25809595e-315 1.09552074e-315 2.38702471e-316 6.99150220e-317 2.59920525e-317 1.17092768e-317 6.15847393e-318 3.66933168e-318 2.41751261e-318 1.72716951e-318 1.31720372e-318 1.05882220e-318 8.87974304e-319 7.70584307e-319 6.87378711e-319 6.26910017e-319 5.82073559e-319 5.48289350e-319 5.22499124e-319 5.02598160e-319 4.87114142e-319 4.74984831e-319 4.65429601e-319 4.57870397e-319 4.51867499e-319 4.47089884e-319 4.43275697e-319 4.40222372e-319 4.37776747e-319 4.35820247e-319 4.34249118e-319 4.32984310e-319 4.31971475e-319 4.31156267e-319 4.30499160e-319 4.29970510e-319 4.29545613e-319 4.29199767e-319 4.28928031e-319 4.28705702e-319 4.28527838e-319 4.28384559e-319 4.28270924e-319 4.28177051e-319 4.28102941e-319 4.28043654e-319 4.27994247e-319 4.27954722e-319 4.27925078e-319 4.27900375e-319 4.27880612e-319 4.27860849e-319 4.27850968e-319 4.27841087e-319 4.27831205e-319 4.27821324e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 4.27811443e-319 
7       0.0359381366      0.0329369548         0.00660412483      4.24448007e-201 6.80609600e-207 3.02672962e-216 7.08284955e-226 1.43409384e-234 1.10995259e-241 2.06465556e-247 4.97437926e-252 9.44928153e-256 9.47433395e-259 3.63014482e-261 4.09791213e-263 1.10465874e-264 6.00708113e-266 5.74872405e-267 8.67699526e-268 1.89062618e-268 5.53757047e-269 2.05868232e-269 9.27424969e-270 4.87777700e-270 2.90626953e-270 1.91477696e-270 1.36799719e-270 1.04328453e-270 8.38635094e-271 7.03317612e-271 6.10338626e-271 5.44433200e-271 4.96540438e-271 4.61029980e-271 4.34269894e-271 4.13840872e-271 3.98078922e-271 3.85815731e-271 3.76208640e-271 3.68641310e-271 3.62654194e-271 3.57900189e-271 3.54114781e-271 3.51093328e-271 3.48677386e-271 3.46742565e-271 3.45191234e-271 3.43946177e-271 3.42946088e-271 3.42142335e-271 3.41495972e-271 3.40976014e-271 3.40557576e-271 3.40220756e-271 3.39949580e-271 3.39731204e-271 3.39555340e-271 3.39413679e-271 3.39299569e-271 3.39207642e-271 3.39133580e-271 3.39073912e-271 3.39025834e-271 3.38987098e-271 3.38955885e-271 3.38930734e-271 3.38910468e-271 3.38894138e-271 3.38880979e-271 3.38870375e-271 3.38861830e-271 3.38854945e-271 3.38849396e-271 3.38844925e-271 3.38841322e-271 3.38838419e-271 3.38836079e-271 3.38834193e-271 3.38832674e-271 3.38831450e-271 3.38830463e-271 3.38829668e-271 3.38829027e-271 3.38828511e-271 3.38828095e-271 3.38827760e-271 3.38827489e-271 3.38827272e-271 3.38827096e-271 3.38826955e-271 3.38826841e-271 3.38826749e-271 3.38826675e-271 3.38826616e-271 3.38826568e-271 3.38826529e-271 3.38826498e-271 3.38826472e-271 3.38826452e-271 3.38826436e-271 
8       0.0431440226      0.0395410796         0.00792830508      1.68379390e-164 1.51242949e-169 2.46147510e-177 1.67811948e-185 1.62497191e-193 1.37502225e-200 2.55826057e-206 6.16362297e-211 1.17083571e-214 1.17393989e-217 4.49801731e-220 5.07761553e-222 1.36875369e-223 7.44321679e-225 7.12309332e-226 1.07514374e-226 2.34262535e-227 6.86145845e-228 2.55085931e-228 1.14914797e-228 6.04392564e-229 3.60108241e-229 2.37254996e-229 1.69504946e-229 1.29270651e-229 1.03913077e-229 8.71462420e-230 7.56254596e-230 6.74592910e-230 6.15250244e-230 5.71250166e-230 5.38092445e-230 5.12779379e-230 4.93249160e-230 4.78054161e-230 4.66150267e-230 4.56773786e-230 4.49355308e-230 4.43464744e-230 4.38774344e-230 4.35030541e-230 4.32037011e-230 4.29639625e-230 4.27717412e-230 4.26174693e-230 4.24935510e-230 4.23939601e-230 4.23138709e-230 4.22494442e-230 4.21975967e-230 4.21558622e-230 4.21222615e-230 4.20952031e-230 4.20734122e-230 4.20558594e-230 4.20417204e-230 4.20303299e-230 4.20211531e-230 4.20137598e-230 4.20078026e-230 4.20030029e-230 4.19991353e-230 4.19960190e-230 4.19935079e-230 4.19914845e-230 4.19898540e-230 4.19885401e-230 4.19874813e-230 4.19866281e-230 4.19859406e-230 4.19853866e-230 4.19849402e-230 4.19845804e-230 4.19842905e-230 4.19840569e-230 4.19838686e-230 4.19837169e-230 4.19835947e-230 4.19834962e-230 4.19834168e-230 4.19833528e-230 4.19833013e-230 4.19832597e-230 4.19832262e-230 4.19831993e-230 4.19831775e-230 4.19831600e-230 4.19831459e-230 4.19831345e-230 4.19831253e-230 4.19831180e-230 4.19831120e-230 4.19831072e-230 4.19831033e-230 4.19831002e-230 4.19830977e-230 4.19830957e-230 
9       0.0517947468      0.0474693847         0.00951799413      4.56633135e-134 1.74177348e-138 5.75731827e-145 8.90587831e-152 1.02202389e-158 2.07641749e-165 4.00858341e-171 9.65849175e-176 1.83471753e-179 1.83958183e-182 7.04846218e-185 7.95670148e-187 2.14485805e-188 1.16636350e-189 1.11619966e-190 1.68476675e-191 3.67092988e-192 1.07520107e-192 3.99723570e-193 1.80073251e-193 9.47092426e-194 5.64295141e-194 3.71782220e-194 2.65616853e-194 2.02569095e-194 1.62833386e-194 1.36559499e-194 1.18506256e-194 1.05709745e-194 9.64106577e-195 8.95157779e-195 8.43199121e-195 8.03533159e-195 7.72929005e-195 7.49118208e-195 7.30464624e-195 7.15771535e-195 7.04146665e-195 6.94916061e-195 6.87566133e-195 6.81699536e-195 6.77008628e-195 6.73251888e-195 6.70239750e-195 6.67822287e-195 6.65880468e-195 6.64319863e-195 6.63064852e-195 6.62055277e-195 6.61242819e-195 6.60588833e-195 6.60062305e-195 6.59638295e-195 6.59296828e-195 6.59021773e-195 6.58800213e-195 6.58621722e-195 6.58477920e-195 6.58362065e-195 6.58268715e-195 6.58193504e-195 6.58132898e-195 6.58084065e-195 6.58044716e-195 6.58013007e-195 6.57987458e-195 6.57966868e-195 6.57950278e-195 6.57936908e-195 6.57926135e-195 6.57917454e-195 6.57910458e-195 6.57904820e-195 6.57900277e-195 6.57896617e-195 6.57893667e-195 6.57891289e-195 6.57889374e-195 6.57887830e-195 6.57886586e-195 6.57885583e-195 6.57884776e-195 6.57884125e-195 6.57883600e-195 6.57883177e-195 6.57882837e-195 6.57882562e-195 6.57882341e-195 6.57882163e-195 6.57882019e-195 6.57881903e-195 6.57881810e-195 6.57881735e-195 6.57881674e-195 6.57881625e-195 6.57881586e-195 6.57881554e-195 
