This file contains the transmission weighting function for each layer and waveband. The units are [erg s^-1 cm^-3 sr^-1]
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   transm_weight_lay[0]   transm_weight_lay[1]   transm_weight_lay[2]   transm_weight_lay[3]   transm_weight_lay[4]   transm_weight_lay[5]   transm_weight_lay[6]   transm_weight_lay[7]   transm_weight_lay[8]   transm_weight_lay[9]   transm_weight_lay[10]   transm_weight_lay[11]   transm_weight_lay[12]   transm_weight_lay[13]   transm_weight_lay[14]   transm_weight_lay[15]   transm_weight_lay[16]   transm_weight_lay[17]   transm_weight_lay[18]   transm_weight_lay[19]   transm_weight_lay[20]   transm_weight_lay[21]   transm_weight_lay[22]   transm_weight_lay[23]   transm_weight_lay[24]   transm_weight_lay[25]   transm_weight_lay[26]   transm_weight_lay[27]   transm_weight_lay[28]   transm_weight_lay[29]   transm_weight_lay[30]   transm_weight_lay[31]   transm_weight_lay[32]   transm_weight_lay[33]   transm_weight_lay[34]   transm_weight_lay[35]   transm_weight_lay[36]   transm_weight_lay[37]   transm_weight_lay[38]   transm_weight_lay[39]   transm_weight_lay[40]   transm_weight_lay[41]   transm_weight_lay[42]   transm_weight_lay[43]   transm_weight_lay[44]   transm_weight_lay[45]   transm_weight_lay[46]   transm_weight_lay[47]   transm_weight_lay[48]   transm_weight_lay[49]   transm_weight_lay[50]   transm_weight_lay[51]   transm_weight_lay[52]   transm_weight_lay[53]   transm_weight_lay[54]   transm_weight_lay[55]   transm_weight_lay[56]   transm_weight_lay[57]   transm_weight_lay[58]   transm_weight_lay[59]   transm_weight_lay[60]   transm_weight_lay[61]   transm_weight_lay[62]   transm_weight_lay[63]   transm_weight_lay[64]   transm_weight_lay[65]   transm_weight_lay[66]   transm_weight_lay[67]   transm_weight_lay[68]   transm_weight_lay[69]   transm_weight_lay[70]   transm_weight_lay[71]   transm_weight_lay[72]   transm_weight_lay[73]   transm_weight_lay[74]   transm_weight_lay[75]   transm_weight_lay[76]   transm_weight_lay[77]   transm_weight_lay[78]   transm_weight_lay[79]   transm_weight_lay[80]   transm_weight_lay[81]   transm_weight_lay[82]   transm_weight_lay[83]   transm_weight_lay[84]   transm_weight_lay[85]   transm_weight_lay[86]   transm_weight_lay[87]   transm_weight_lay[88]   transm_weight_lay[89]   transm_weight_lay[90]   transm_weight_lay[91]   transm_weight_lay[92]   transm_weight_lay[93]   transm_weight_lay[94]   transm_weight_lay[95]   
0       0.01              0.00899745971        0.00200508058      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
1       0.0120050806      0.0110025403         0.00220609798      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
2       0.014412196       0.0132086383         0.00264843841      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
3       0.0173019574      0.0158570767         0.00317947165      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
4       0.0207711393      0.0190365483         0.00381698133      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
5       0.02493592        0.0228535297         0.00458231684      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
6       0.0299357729      0.0274358465         0.00550110829      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
7       0.0359381366      0.0329369548         0.00660412483      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
8       0.0431440226      0.0395410796         0.00792830508      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
9       0.0517947468      0.0474693847         0.00951799413      1.01805e-70              3.95695e-57              3.53558e-46              2.36106e-37              3.05262e-30              1.64108e-24              6.81127e-20              3.58506e-16              3.57267e-13              9.29793e-11              8.17493e-09              2.98457e-07              5.33373e-06              5.3299e-05               0.000331549              0.00140165               0.00432655               0.0103397                0.0200757                0.0329292                0.0471214                0.0603688                0.0707272                0.0770883                0.0792523                0.0777332                0.0733905                0.0672021                0.0600272                0.0525593                0.0452872                0.0385152                0.0324179                0.027054                 0.0224264                0.0184879                0.0151739                0.0124103                0.0101201                0.0082343                0.00668679               0.00542234               0.00439152               0.00355317               0.00287276               0.00232096               0.0018744                0.00151299               0.00122094               0.000984972              0.000794425              0.000640668              0.000516546              0.000416474              0.000335726              0.000270629              0.000218139              0.000175816              0.000141708              0.000114202              9.20436e-05              7.41764e-05              5.97791e-05              4.81757e-05              3.88225e-05              3.12873e-05              2.52119e-05              2.03183e-05              1.63732e-05              1.31945e-05              1.0633e-05               8.56828e-06              6.90506e-06              5.56413e-06              4.48403e-06              3.61334e-06              2.91179e-06              2.34651e-06              1.89085e-06              1.5238e-06               1.22789e-06              9.89521e-07              7.97381e-07              6.4256e-07               5.17819e-07              4.17261e-07              3.36264e-07              2.70964e-07              2.18361e-07              1.75962e-07              1.41796e-07              1.14269e-07              9.20783e-08              7.42046e-08              5.97947e-08              4.81864e-08              
