This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
0       0.01              0.00899745971        0.00200508058      0               0               not_avail.              
1       0.0120050806      0.0110025403         0.00220609798      0               0               not_avail.              
2       0.014412196       0.0132086383         0.00264843841      0               0               not_avail.              
3       0.0173019574      0.0158570767         0.00317947165      0               0               not_avail.              
4       0.0207711393      0.0190365483         0.00381698133      0               0               not_avail.              
5       0.02493592        0.0228535297         0.00458231684      0               0               not_avail.              
6       0.0299357729      0.0274358465         0.00550110829      0               3.58734e-318    not_avail.              
7       0.0359381366      0.0329369548         0.00660412483      0               2.10077e-270    not_avail.              
8       0.0431440226      0.0395410796         0.00792830508      0               1.9769e-229     not_avail.              
9       0.0517947468      0.0474693847         0.00951799413      0               2.96149e-194    not_avail.              
10      0.0621800109      0.0569873788         0.0114264286       0               3.95918e-164    not_avail.              
11      0.0746476041      0.0684138075         0.0137175197       0               2.26217e-138    not_avail.              
12      0.0896150502      0.0821313271         0.0164679929       0               2.52712e-116    not_avail.              
13      0.10758359        0.09859932           0.0197699582       0               1.87617e-97     not_avail.              
14      0.129154967       0.118369278          0.0237339941       0               2.65163e-81     not_avail.              
15      0.155051578       0.142103272          0.0284928511       0               1.72948e-67     not_avail.              
16      0.186140669       0.170596123          0.0342058974       0               1.10178e-55     not_avail.              
17      0.223463373       0.204802021          0.0410644554       0               1.323e-45       not_avail.              
18      0.26826958        0.245866476          0.0492982096       0               5.28487e-37     not_avail.              
19      0.322059792       0.295164686          0.0591828978       0               1.13954e-29     not_avail.              
20      0.386635375       0.354347584          0.0710495457       0               2.00588e-23     not_avail.              
21      0.464158883       0.425397129          0.0852955522       0               4.10911e-18     not_avail.              
22      0.55722648        0.510692681          0.102397998        0               1.32785e-13     not_avail.              
23      0.668954879       0.613090679          0.122929621        0               8.78812e-10     not_avail.              
24      0.803085722       0.7360203            0.147578001        0               1.49077e-06     not_avail.              
25      0.96411088        0.883598301          0.177168579        0               0.000785901     not_avail.              
26      1.15742288        1.06076688           0.212692307        0               0.151919        not_avail.              
27      1.38949549        1.27345919           0.255338828        0               12.413          not_avail.              
28      1.66810054        1.52879802           0.306536321        0               484.502         not_avail.              
29      2.00256814        1.83533434           0.367999323        0               10035.2         not_avail.              
30      2.40409918        2.20333366           0.441786153        0               120655          not_avail.              
31      2.88614044        2.64511981           0.530367836        0               908501          not_avail.              
32      3.46483486        3.17548765           0.636710861        0               4.56516e+06     not_avail.              
33      4.15956216        3.81219851           0.764376519        0               1.61422e+07     not_avail.              
34      4.99358789        4.57657503           0.91764017         0               4.19992e+07     not_avail.              
35      5.9948425         5.4942152            1.10163442         0               8.35647e+07     not_avail.              
36      7.19685673        6.59584962           1.322521           0               1.31568e+08     not_avail.              
37      8.63988449        7.91837061           1.58769711         0               1.69084e+08     not_avail.              
38      10.372251         9.50606772           1.90604318         0               1.82502e+08     not_avail.              
39      12.4519708        11.4121109           2.28822019         0               1.69845e+08     not_avail.              
40      14.9486913        13.7003311           2.74702678         0               1.39594e+08     not_avail.              
41      17.9460244        16.4473579           3.29782778         0               1.03526e+08     not_avail.              
42      21.5443469        19.7451857           3.95906882         0               7.05953e+07     not_avail.              
43      25.8641621        23.7042545           4.75289403         0               4.49804e+07     not_avail.              
44      31.050135         28.4571485           5.70588758         0               2.71396e+07     not_avail.              
45      37.2759372        34.1630361           6.84996401         0               1.56768e+07     not_avail.              
46      44.750063         41.0130001           8.22343699         0               8.74579e+06     not_avail.              
47      53.7228112        49.2364371           9.87230237         0               4.74529e+06     not_avail.              
48      64.4946677        59.1087394           11.8517785         0               2.518e+06       not_avail.              
49      77.4263683        70.960518            14.2281556         0               1.31243e+06     not_avail.              
50      92.950979         85.1886736           17.0810155         0               674271          not_avail.              
51      111.588399        102.269689           20.5058967         0               342392          not_avail.              
52      133.962772        122.775586           24.6174943         0               172225          not_avail.              
53      160.823388        147.39308            29.5535002         0               85963.9         not_avail.              
54      193.069773        176.94658            35.4792151         0               42637.8         not_avail.              
55      231.781818        212.425795           42.5930837         0               21039.1         not_avail.              
56      278.25594         255.018879           51.1333401         0               10337.5         not_avail.              
57      334.048498        306.152219           61.3859869         0               5061.55         not_avail.              
58      401.027914        367.538206           73.6943719         0               2471.15         not_avail.              
59      481.437242        441.232578           88.4706872         0               1203.6          not_avail.              
60      577.969288        529.703265           106.209773         0               585.068         not_avail.              
61      693.856788        635.913038           127.505688         0               283.937         not_avail.              
62      832.980665        763.418726           153.071606         0               137.61          not_avail.              
63      1000              916.490332           167.019335         0               68.5567         not_avail.              
