This file contains the cloud volume mixing ratio (= n_cloud/n_gas) at each vertical layer.
layer   press.[10^-6bar]        cloud_vmr         
0       9.30572e+06             0                 
1       8.05842e+06             0                 
2       6.97831e+06             0                 
3       6.04296e+06             0                 
4       5.23299e+06             0                 
5       4.53158e+06             0                 
6       3.92419e+06             0                 
7       3.39821e+06             0                 
8       2.94273e+06             0                 
9       2.5483e+06              0                 
10      2.20673e+06             0                 
11      1.91095e+06             0                 
12      1.65482e+06             0                 
13      1.43301e+06             0                 
14      1.24094e+06             0                 
15      1.07461e+06             0                 
16      930572                  0                 
17      805842                  0                 
18      697831                  0                 
19      604296                  0                 
20      523299                  0                 
21      453158                  0                 
22      392419                  0                 
23      339821                  0                 
24      294273                  0                 
25      254830                  0                 
26      220673                  0                 
27      191095                  0                 
28      165482                  0                 
29      143301                  0                 
30      124094                  0                 
31      107461                  0                 
32      93057.2                 0                 
33      80584.2                 0                 
34      69783.1                 0                 
35      60429.6                 0                 
36      52329.9                 0                 
37      45315.8                 0                 
38      39241.9                 0                 
39      33982.1                 0                 
40      29427.3                 0                 
41      25483                   0                 
42      22067.3                 0                 
43      19109.5                 0                 
44      16548.2                 0                 
45      14330.1                 0                 
46      12409.4                 0                 
47      10746.1                 0                 
48      9305.72                 0                 
49      8058.42                 0                 
50      6978.31                 0                 
51      6042.96                 0                 
52      5232.99                 0                 
53      4531.58                 0                 
54      3924.19                 0                 
55      3398.21                 0                 
56      2942.73                 0                 
57      2548.3                  0                 
58      2206.73                 0                 
59      1910.95                 0                 
60      1654.82                 0                 
61      1433.01                 0                 
62      1240.94                 0                 
63      1074.61                 0                 
64      930.572                 0                 
65      805.842                 0                 
66      697.831                 0                 
67      604.296                 0                 
68      523.299                 0                 
69      453.158                 0                 
70      392.419                 0                 
71      339.821                 0                 
72      294.273                 0                 
73      254.83                  0                 
74      220.673                 0                 
75      191.095                 0                 
76      165.482                 0                 
77      143.301                 0                 
78      124.094                 0                 
79      107.461                 0                 
80      93.0572                 0                 
81      80.5842                 0                 
82      69.7831                 0                 
83      60.4296                 0                 
84      52.3299                 0                 
85      45.3158                 0                 
86      39.2419                 0                 
87      33.9821                 0                 
88      29.4273                 0                 
89      25.483                  0                 
90      22.0673                 0                 
91      19.1095                 0                 
92      16.5482                 0                 
93      14.3301                 0                 
94      12.4094                 0                 
95      10.7461                 0                 
