This file contains the cloud scattering cross sections per wavelength at each layer center. 
Cross sections given in [cm^2].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   cloud_cross_sect_lay[0]   cloud_cross_sect_lay[1]   cloud_cross_sect_lay[2]   cloud_cross_sect_lay[3]   cloud_cross_sect_lay[4]   cloud_cross_sect_lay[5]   cloud_cross_sect_lay[6]   cloud_cross_sect_lay[7]   cloud_cross_sect_lay[8]   cloud_cross_sect_lay[9]   cloud_cross_sect_lay[10]   cloud_cross_sect_lay[11]   cloud_cross_sect_lay[12]   cloud_cross_sect_lay[13]   cloud_cross_sect_lay[14]   cloud_cross_sect_lay[15]   cloud_cross_sect_lay[16]   cloud_cross_sect_lay[17]   cloud_cross_sect_lay[18]   cloud_cross_sect_lay[19]   cloud_cross_sect_lay[20]   cloud_cross_sect_lay[21]   cloud_cross_sect_lay[22]   cloud_cross_sect_lay[23]   cloud_cross_sect_lay[24]   cloud_cross_sect_lay[25]   cloud_cross_sect_lay[26]   cloud_cross_sect_lay[27]   cloud_cross_sect_lay[28]   cloud_cross_sect_lay[29]   cloud_cross_sect_lay[30]   cloud_cross_sect_lay[31]   cloud_cross_sect_lay[32]   cloud_cross_sect_lay[33]   cloud_cross_sect_lay[34]   cloud_cross_sect_lay[35]   cloud_cross_sect_lay[36]   cloud_cross_sect_lay[37]   cloud_cross_sect_lay[38]   cloud_cross_sect_lay[39]   cloud_cross_sect_lay[40]   cloud_cross_sect_lay[41]   cloud_cross_sect_lay[42]   cloud_cross_sect_lay[43]   cloud_cross_sect_lay[44]   cloud_cross_sect_lay[45]   cloud_cross_sect_lay[46]   cloud_cross_sect_lay[47]   cloud_cross_sect_lay[48]   cloud_cross_sect_lay[49]   cloud_cross_sect_lay[50]   cloud_cross_sect_lay[51]   cloud_cross_sect_lay[52]   cloud_cross_sect_lay[53]   cloud_cross_sect_lay[54]   cloud_cross_sect_lay[55]   cloud_cross_sect_lay[56]   cloud_cross_sect_lay[57]   cloud_cross_sect_lay[58]   cloud_cross_sect_lay[59]   cloud_cross_sect_lay[60]   cloud_cross_sect_lay[61]   cloud_cross_sect_lay[62]   cloud_cross_sect_lay[63]   cloud_cross_sect_lay[64]   cloud_cross_sect_lay[65]   cloud_cross_sect_lay[66]   cloud_cross_sect_lay[67]   cloud_cross_sect_lay[68]   cloud_cross_sect_lay[69]   cloud_cross_sect_lay[70]   cloud_cross_sect_lay[71]   cloud_cross_sect_lay[72]   cloud_cross_sect_lay[73]   cloud_cross_sect_lay[74]   cloud_cross_sect_lay[75]   cloud_cross_sect_lay[76]   cloud_cross_sect_lay[77]   cloud_cross_sect_lay[78]   cloud_cross_sect_lay[79]   cloud_cross_sect_lay[80]   cloud_cross_sect_lay[81]   cloud_cross_sect_lay[82]   cloud_cross_sect_lay[83]   cloud_cross_sect_lay[84]   cloud_cross_sect_lay[85]   cloud_cross_sect_lay[86]   cloud_cross_sect_lay[87]   cloud_cross_sect_lay[88]   cloud_cross_sect_lay[89]   cloud_cross_sect_lay[90]   cloud_cross_sect_lay[91]   cloud_cross_sect_lay[92]   cloud_cross_sect_lay[93]   cloud_cross_sect_lay[94]   cloud_cross_sect_lay[95]   
0       0.01              0.00899745971        0.00200508058      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
1       0.0120050806      0.0110025403         0.00220609798      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
2       0.014412196       0.0132086383         0.00264843841      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
3       0.0173019574      0.0158570767         0.00317947165      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
4       0.0207711393      0.0190365483         0.00381698133      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
5       0.02493592        0.0228535297         0.00458231684      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
6       0.0299357729      0.0274358465         0.00550110829      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
7       0.0359381366      0.0329369548         0.00660412483      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
8       0.0431440226      0.0395410796         0.00792830508      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
9       0.0517947468      0.0474693847         0.00951799413      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
