This file contains the Planck (blackbody) function at each layer center and from the stellar (2nd last column) and internal (last column) temperatures. 
Planck function given in [erg s^-1 cm^-3 sr^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   B_lay[0]   B_lay[1]   B_lay[2]   B_lay[3]   B_lay[4]   B_lay[5]   B_lay[6]   B_lay[7]   B_lay[8]   B_lay[9]   B_lay[10]   B_lay[11]   B_lay[12]   B_lay[13]   B_lay[14]   B_lay[15]   B_lay[16]   B_lay[17]   B_lay[18]   B_lay[19]   B_lay[20]   B_lay[21]   B_lay[22]   B_lay[23]   B_lay[24]   B_lay[25]   B_lay[26]   B_lay[27]   B_lay[28]   B_lay[29]   B_lay[30]   B_lay[31]   B_lay[32]   B_lay[33]   B_lay[34]   B_lay[35]   B_lay[36]   B_lay[37]   B_lay[38]   B_lay[39]   B_lay[40]   B_lay[41]   B_lay[42]   B_lay[43]   B_lay[44]   B_lay[45]   B_lay[46]   B_lay[47]   B_lay[48]   B_lay[49]   B_lay[50]   B_lay[51]   B_lay[52]   B_lay[53]   B_lay[54]   B_lay[55]   B_lay[56]   B_lay[57]   B_lay[58]   B_lay[59]   B_lay[60]   B_lay[61]   B_lay[62]   B_lay[63]   B_lay[64]   B_lay[65]   B_lay[66]   B_lay[67]   B_lay[68]   B_lay[69]   B_lay[70]   B_lay[71]   B_lay[72]   B_lay[73]   B_lay[74]   B_lay[75]   B_lay[76]   B_lay[77]   B_lay[78]   B_lay[79]   B_lay[80]   B_lay[81]   B_lay[82]   B_lay[83]   B_lay[84]   B_lay[85]   B_lay[86]   B_lay[87]   B_lay[88]   B_lay[89]   B_lay[90]   B_lay[91]   B_lay[92]   B_lay[93]   B_lay[94]   B_lay[95]   Planck_T_star   Planck_T_intern 
0       0.01              0.00899745971        0.00200508058      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
1       0.0120050806      0.0110025403         0.00220609798      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
2       0.014412196       0.0132086383         0.00264843841      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
3       0.0173019574      0.0158570767         0.00317947165      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
4       0.0207711393      0.0190365483         0.00381698133      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
5       0.02493592        0.0228535297         0.00458231684      0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               1.76075e-298    
6       0.0299357729      0.0274358465         0.00550110829      5.06931e-251    2.31441e-262    2.47989e-274    1.14828e-286    2.18173e-299    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               1.35166e-245    
7       0.0359381366      0.0329369548         0.00660412483      3.97661e-206    1.39463e-215    1.4974e-225     7.79331e-236    1.94006e-246    1.3208e-257     3.11564e-269    2.35458e-281    6.6654e-294     0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               1.35106e-201    
8       0.0431440226      0.0395410796         0.00792830508      8.82109e-169    1.15435e-176    5.77206e-185    1.54369e-193    2.21264e-202    1.09581e-211    2.14387e-221    1.68128e-231    6.08489e-242    7.64395e-253    2.4318e-264     4.41379e-276    1.97021e-288    1.48212e-301    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               5.35968e-165    
9       0.0517947468      0.0474693847         0.00951799413      1.00777e-137    2.69536e-144    3.30227e-151    2.35856e-158    9.88207e-166    1.7389e-173     1.37931e-181    5.19787e-190    1.04437e-198    8.37641e-208    2.2804e-217     3.4928e-227     1.77769e-237    2.2392e-248     2.11367e-259    4.40325e-271    1.30655e-283    6.28091e-296    0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               1.45351e-134    
