This file contains the upward spectral flux (per wavelength) at each interface. 
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_up[0]   F_up[1]   F_up[2]   F_up[3]   F_up[4]   F_up[5]   F_up[6]   F_up[7]   F_up[8]   F_up[9]   F_up[10]   F_up[11]   F_up[12]   F_up[13]   F_up[14]   F_up[15]   F_up[16]   F_up[17]   F_up[18]   F_up[19]   F_up[20]   F_up[21]   F_up[22]   F_up[23]   F_up[24]   F_up[25]   F_up[26]   F_up[27]   F_up[28]   F_up[29]   F_up[30]   F_up[31]   F_up[32]   F_up[33]   F_up[34]   F_up[35]   F_up[36]   F_up[37]   F_up[38]   F_up[39]   F_up[40]   F_up[41]   F_up[42]   F_up[43]   F_up[44]   F_up[45]   F_up[46]   F_up[47]   F_up[48]   F_up[49]   F_up[50]   F_up[51]   F_up[52]   F_up[53]   F_up[54]   F_up[55]   F_up[56]   F_up[57]   F_up[58]   F_up[59]   F_up[60]   F_up[61]   F_up[62]   F_up[63]   F_up[64]   F_up[65]   F_up[66]   F_up[67]   F_up[68]   F_up[69]   F_up[70]   F_up[71]   F_up[72]   F_up[73]   F_up[74]   F_up[75]   F_up[76]   F_up[77]   F_up[78]   F_up[79]   F_up[80]   F_up[81]   F_up[82]   F_up[83]   F_up[84]   F_up[85]   F_up[86]   F_up[87]   F_up[88]   F_up[89]   F_up[90]   F_up[91]   F_up[92]   F_up[93]   F_up[94]   F_up[95]   F_up[96]   
0       0.01              0.00899745971        0.00200508058      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1       0.0120050806      0.0110025403         0.00220609798      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2       0.014412196       0.0132086383         0.00264843841      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3       0.0173019574      0.0158570767         0.00317947165      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4       0.0207711393      0.0190365483         0.00381698133      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5       0.02493592        0.0228535297         0.00458231684      5.53155410e-298 7.86678196e-315 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6       0.0299357729      0.0274358465         0.00550110829      4.24636642e-245 1.59257173e-250 7.31313952e-262 9.16455987e-273 1.39984127e-281 1.09987199e-288 2.07320871e-294 5.04619832e-299 9.66598686e-303 9.75596197e-306 3.75809438e-308 4.26101744e-310 1.15261816e-311 6.28617171e-313 6.02936629e-314 9.11728482e-315 1.98946345e-315 5.83394024e-316 2.17097460e-316 9.78760941e-317 5.15107506e-317 3.07062985e-317 2.02387964e-317 1.44641077e-317 1.10337260e-317 8.87127970e-318 7.44111775e-318 6.45830755e-318 5.76156135e-318 5.25519347e-318 4.87971346e-318 4.59673736e-318 4.38070716e-318 4.21401435e-318 4.08432212e-318 3.98271752e-318 3.90268382e-318 3.83935943e-318 3.78907837e-318 3.74904423e-318 3.71708806e-318 3.69153499e-318 3.67107079e-318 3.65466287e-318 3.64149602e-318 3.63091808e-318 3.62241521e-318 3.61557734e-318 3.61007839e-318 3.60565156e-318 3.60208934e-318 3.59921882e-318 3.59690660e-318 3.59504891e-318 3.59355189e-318 3.59234637e-318 3.59137306e-318 3.59058750e-318 3.58995509e-318 3.58944620e-318 3.58903613e-318 3.58870511e-318 3.58843831e-318 3.58822586e-318 3.58805294e-318 3.58791460e-318 3.58780097e-318 3.58771203e-318 3.58763792e-318 3.58757864e-318 3.58752923e-318 3.58748970e-318 3.58746006e-318 3.58743536e-318 3.58741560e-318 3.58740077e-318 3.58738595e-318 3.58737607e-318 3.58736619e-318 3.58736125e-318 3.58735631e-318 3.58735137e-318 3.58734643e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 3.58734149e-318 
7       0.0359381366      0.0329369548         0.00660412483      4.24448003e-201 1.24928857e-205 4.38168595e-215 5.20662424e-225 8.19749072e-234 6.44092718e-241 1.21408550e-246 2.95508899e-251 5.66046943e-255 5.71315949e-258 2.20076632e-260 2.49528158e-262 6.74981245e-264 3.68122607e-265 3.53083902e-266 5.33914568e-267 1.16504369e-267 3.41639616e-268 1.27133788e-268 5.73169237e-269 3.01650561e-269 1.79818246e-269 1.18519818e-269 8.47028273e-270 6.46142831e-270 5.19508297e-270 4.35756927e-270 3.78202838e-270 3.37400806e-270 3.07747540e-270 2.85759068e-270 2.69187893e-270 2.56536962e-270 2.46775439e-270 2.39180690e-270 2.33230557e-270 2.28543655e-270 2.24835415e-270 2.21890877e-270 2.19546327e-270 2.17674858e-270 2.16178464e-270 2.14980030e-270 2.14019129e-270 2.13247937e-270 2.12628473e-270 2.12130640e-270 2.11730274e-270 2.11408212e-270 2.11149025e-270 2.10940394e-270 2.10772425e-270 2.10637160e-270 2.10528232e-270 2.10440484e-270 2.10369804e-270 2.10312863e-270 2.10266988e-270 2.10230029e-270 2.10200249e-270 2.10176256e-270 2.10156922e-270 2.10141343e-270 2.10128790e-270 2.10118675e-270 2.10110524e-270 2.10103956e-270 2.10098664e-270 2.10094398e-270 2.10090962e-270 2.10088192e-270 2.10085960e-270 2.10084162e-270 2.10082713e-270 2.10081545e-270 2.10080604e-270 2.10079845e-270 2.10079234e-270 2.10078742e-270 2.10078345e-270 2.10078025e-270 2.10077767e-270 2.10077560e-270 2.10077392e-270 2.10077257e-270 2.10077149e-270 2.10077061e-270 2.10076991e-270 2.10076934e-270 2.10076888e-270 2.10076851e-270 2.10076821e-270 2.10076797e-270 2.10076778e-270 2.10076762e-270 2.10076750e-270 2.10076740e-270 
8       0.0431440226      0.0395410796         0.00792830508      1.68379389e-164 2.77122795e-168 3.62651921e-176 1.81750583e-184 7.62571681e-193 6.06112886e-200 1.14249869e-205 2.78084639e-210 5.32670795e-214 5.37629121e-217 2.07100128e-219 2.34815087e-221 6.35181941e-223 3.46416783e-224 3.32264815e-225 5.02433059e-226 1.09634856e-226 3.21495324e-227 1.19637526e-227 5.39373132e-228 2.83864167e-228 1.69215520e-228 1.11531467e-228 7.97084462e-229 6.08043943e-229 4.88876233e-229 4.10063143e-229 3.55902648e-229 3.17506450e-229 2.89601646e-229 2.68909693e-229 2.53315614e-229 2.41410627e-229 2.32224678e-229 2.25077743e-229 2.19478451e-229 2.15067905e-229 2.11578316e-229 2.08807399e-229 2.06601092e-229 2.04839971e-229 2.03431810e-229 2.02304040e-229 2.01399797e-229 2.00674077e-229 2.00091139e-229 1.99622660e-229 1.99245901e-229 1.98942829e-229 1.98698925e-229 1.98502595e-229 1.98344531e-229 1.98217241e-229 1.98114735e-229 1.98032162e-229 1.97965650e-229 1.97912065e-229 1.97868896e-229 1.97834116e-229 1.97806091e-229 1.97783513e-229 1.97765319e-229 1.97750660e-229 1.97738847e-229 1.97729328e-229 1.97721658e-229 1.97715477e-229 1.97710496e-229 1.97706483e-229 1.97703248e-229 1.97700642e-229 1.97698542e-229 1.97696850e-229 1.97695486e-229 1.97694387e-229 1.97693501e-229 1.97692788e-229 1.97692212e-229 1.97691749e-229 1.97691376e-229 1.97691075e-229 1.97690832e-229 1.97690637e-229 1.97690479e-229 1.97690352e-229 1.97690250e-229 1.97690168e-229 1.97690101e-229 1.97690048e-229 1.97690005e-229 1.97689970e-229 1.97689942e-229 1.97689919e-229 1.97689901e-229 1.97689886e-229 1.97689875e-229 1.97689865e-229 
9       0.0517947468      0.0474693847         0.00951799413      4.56633132e-134 3.16599219e-137 8.46772943e-144 1.03753709e-150 7.56812206e-158 9.05090840e-165 1.71151801e-170 4.16584604e-175 7.97967313e-179 8.05395131e-182 3.10246281e-184 3.51764665e-186 9.51534103e-188 5.18949551e-189 4.97749199e-190 7.52669683e-191 1.64238461e-191 4.81615968e-192 1.79222957e-192 8.08007747e-193 4.25242624e-193 2.53493256e-193 1.67079678e-193 1.19407212e-193 9.10880034e-194 7.32360884e-194 6.14294960e-194 5.33159848e-194 4.75640436e-194 4.33837653e-194 4.02840080e-194 3.79479374e-194 3.61645112e-194 3.47884105e-194 3.37177640e-194 3.28789623e-194 3.22182407e-194 3.16954828e-194 3.12803857e-194 3.09498700e-194 3.06860453e-194 3.04750958e-194 3.03061502e-194 3.01706902e-194 3.00619737e-194 2.99746467e-194 2.99044662e-194 2.98480258e-194 2.98026241e-194 2.97660861e-194 2.97366749e-194 2.97129961e-194 2.96939274e-194 2.96785716e-194 2.96662017e-194 2.96562378e-194 2.96482106e-194 2.96417435e-194 2.96365333e-194 2.96323352e-194 2.96289529e-194 2.96262273e-194 2.96240312e-194 2.96222616e-194 2.96208356e-194 2.96196866e-194 2.96187606e-194 2.96180145e-194 2.96174133e-194 2.96169288e-194 2.96165383e-194 2.96162237e-194 2.96159702e-194 2.96157659e-194 2.96156013e-194 2.96154686e-194 2.96153617e-194 2.96152755e-194 2.96152061e-194 2.96151502e-194 2.96151051e-194 2.96150688e-194 2.96150395e-194 2.96150159e-194 2.96149969e-194 2.96149816e-194 2.96149692e-194 2.96149593e-194 2.96149512e-194 2.96149448e-194 2.96149396e-194 2.96149354e-194 2.96149320e-194 2.96149293e-194 2.96149271e-194 2.96149253e-194 2.96149239e-194 
