This file contains the surface albedo per wavelength.
A value was chosen manually, hence all the values below are constant.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   surface_albedo  
0       0.01              0.00899745971        0.00200508058      1e-08           
1       0.0120050806      0.0110025403         0.00220609798      1e-08           
2       0.014412196       0.0132086383         0.00264843841      1e-08           
3       0.0173019574      0.0158570767         0.00317947165      1e-08           
4       0.0207711393      0.0190365483         0.00381698133      1e-08           
5       0.02493592        0.0228535297         0.00458231684      1e-08           
6       0.0299357729      0.0274358465         0.00550110829      1e-08           
7       0.0359381366      0.0329369548         0.00660412483      1e-08           
8       0.0431440226      0.0395410796         0.00792830508      1e-08           
9       0.0517947468      0.0474693847         0.00951799413      1e-08           
10      0.0621800109      0.0569873788         0.0114264286       1e-08           
11      0.0746476041      0.0684138075         0.0137175197       1e-08           
12      0.0896150502      0.0821313271         0.0164679929       1e-08           
13      0.10758359        0.09859932           0.0197699582       1e-08           
14      0.129154967       0.118369278          0.0237339941       1e-08           
15      0.155051578       0.142103272          0.0284928511       1e-08           
16      0.186140669       0.170596123          0.0342058974       1e-08           
17      0.223463373       0.204802021          0.0410644554       1e-08           
18      0.26826958        0.245866476          0.0492982096       1e-08           
19      0.322059792       0.295164686          0.0591828978       1e-08           
20      0.386635375       0.354347584          0.0710495457       1e-08           
21      0.464158883       0.425397129          0.0852955522       1e-08           
22      0.55722648        0.510692681          0.102397998        1e-08           
23      0.668954879       0.613090679          0.122929621        1e-08           
24      0.803085722       0.7360203            0.147578001        1e-08           
25      0.96411088        0.883598301          0.177168579        1e-08           
26      1.15742288        1.06076688           0.212692307        1e-08           
27      1.38949549        1.27345919           0.255338828        1e-08           
28      1.66810054        1.52879802           0.306536321        1e-08           
29      2.00256814        1.83533434           0.367999323        1e-08           
30      2.40409918        2.20333366           0.441786153        1e-08           
31      2.88614044        2.64511981           0.530367836        1e-08           
32      3.46483486        3.17548765           0.636710861        1e-08           
33      4.15956216        3.81219851           0.764376519        1e-08           
34      4.99358789        4.57657503           0.91764017         1e-08           
35      5.9948425         5.4942152            1.10163442         1e-08           
36      7.19685673        6.59584962           1.322521           1e-08           
37      8.63988449        7.91837061           1.58769711         1e-08           
38      10.372251         9.50606772           1.90604318         1e-08           
39      12.4519708        11.4121109           2.28822019         1e-08           
40      14.9486913        13.7003311           2.74702678         1e-08           
41      17.9460244        16.4473579           3.29782778         1e-08           
42      21.5443469        19.7451857           3.95906882         1e-08           
43      25.8641621        23.7042545           4.75289403         1e-08           
44      31.050135         28.4571485           5.70588758         1e-08           
45      37.2759372        34.1630361           6.84996401         1e-08           
46      44.750063         41.0130001           8.22343699         1e-08           
47      53.7228112        49.2364371           9.87230237         1e-08           
48      64.4946677        59.1087394           11.8517785         1e-08           
49      77.4263683        70.960518            14.2281556         1e-08           
50      92.950979         85.1886736           17.0810155         1e-08           
51      111.588399        102.269689           20.5058967         1e-08           
52      133.962772        122.775586           24.6174943         1e-08           
53      160.823388        147.39308            29.5535002         1e-08           
54      193.069773        176.94658            35.4792151         1e-08           
55      231.781818        212.425795           42.5930837         1e-08           
56      278.25594         255.018879           51.1333401         1e-08           
57      334.048498        306.152219           61.3859869         1e-08           
58      401.027914        367.538206           73.6943719         1e-08           
59      481.437242        441.232578           88.4706872         1e-08           
60      577.969288        529.703265           106.209773         1e-08           
61      693.856788        635.913038           127.505688         1e-08           
62      832.980665        763.418726           153.071606         1e-08           
63      1000              916.490332           167.019335         1e-08           
