This file contains the transmission function for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   transm_lay[0]   transm_lay[1]   transm_lay[2]   transm_lay[3]   transm_lay[4]   transm_lay[5]   transm_lay[6]   transm_lay[7]   transm_lay[8]   transm_lay[9]   transm_lay[10]   transm_lay[11]   transm_lay[12]   transm_lay[13]   transm_lay[14]   transm_lay[15]   transm_lay[16]   transm_lay[17]   transm_lay[18]   transm_lay[19]   transm_lay[20]   transm_lay[21]   transm_lay[22]   transm_lay[23]   transm_lay[24]   transm_lay[25]   transm_lay[26]   transm_lay[27]   transm_lay[28]   transm_lay[29]   transm_lay[30]   transm_lay[31]   transm_lay[32]   transm_lay[33]   transm_lay[34]   transm_lay[35]   transm_lay[36]   transm_lay[37]   transm_lay[38]   transm_lay[39]   transm_lay[40]   transm_lay[41]   transm_lay[42]   transm_lay[43]   transm_lay[44]   transm_lay[45]   transm_lay[46]   transm_lay[47]   transm_lay[48]   transm_lay[49]   transm_lay[50]   transm_lay[51]   transm_lay[52]   transm_lay[53]   transm_lay[54]   transm_lay[55]   transm_lay[56]   transm_lay[57]   transm_lay[58]   transm_lay[59]   transm_lay[60]   transm_lay[61]   transm_lay[62]   transm_lay[63]   transm_lay[64]   transm_lay[65]   transm_lay[66]   transm_lay[67]   transm_lay[68]   transm_lay[69]   transm_lay[70]   transm_lay[71]   transm_lay[72]   transm_lay[73]   transm_lay[74]   transm_lay[75]   transm_lay[76]   transm_lay[77]   transm_lay[78]   transm_lay[79]   transm_lay[80]   transm_lay[81]   transm_lay[82]   transm_lay[83]   transm_lay[84]   transm_lay[85]   transm_lay[86]   transm_lay[87]   transm_lay[88]   transm_lay[89]   transm_lay[90]   transm_lay[91]   transm_lay[92]   transm_lay[93]   transm_lay[94]   transm_lay[95]   
0       0.01              0.00899745971        0.00200508058      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
1       0.0120050806      0.0110025403         0.00220609798      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
2       0.014412196       0.0132086383         0.00264843841      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
3       0.0173019574      0.0158570767         0.00317947165      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
4       0.0207711393      0.0190365483         0.00381698133      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
5       0.02493592        0.0228535297         0.00458231684      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
6       0.0299357729      0.0274358465         0.00550110829      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
7       0.0359381366      0.0329369548         0.00660412483      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
8       0.0431440226      0.0395410796         0.00792830508      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
9       0.0517947468      0.0474693847         0.00951799413      1.42216e-17       2.65114e-14       1.14663e-11       1.52741e-09       7.85712e-08       1.88495e-06       2.434e-05         0.00019155        0.00100931        0.0038521         0.0113382         0.0270503         0.0545382         0.0959148         0.151215          0.218208          0.293242          0.372128          0.450839          0.526285          0.596114          0.659109          0.714672          0.762835          0.804015          0.838787          0.867922          0.892116          0.912113          0.92855           0.94201           0.953003          0.961949          0.969224          0.975123          0.979904          0.983774          0.986904          0.989434          0.991476          0.993126          0.994456          0.99553           0.996397          0.997095          0.997659          0.998113          0.998479          0.998774          0.999012          0.999204          0.999358          0.999483          0.999583          0.999664          0.999729          0.999782          0.999824          0.999858          0.999886          0.999908          0.999926          0.99994           0.999952          0.999961          0.999969          0.999975          0.99998           0.999984          0.999987          0.999989          0.999991          0.999993          0.999994          0.999996          0.999996          0.999997          0.999998          0.999998          0.999998          0.999999          0.999999          0.999999          0.999999          0.999999          1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 1                 
