This file contains the transmission weighting function for each layer and waveband. The units are [erg s^-1 cm^-3 sr^-1]
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   transm_weight_lay[0]   transm_weight_lay[1]   transm_weight_lay[2]   transm_weight_lay[3]   transm_weight_lay[4]   transm_weight_lay[5]   transm_weight_lay[6]   transm_weight_lay[7]   transm_weight_lay[8]   transm_weight_lay[9]   transm_weight_lay[10]   transm_weight_lay[11]   transm_weight_lay[12]   transm_weight_lay[13]   transm_weight_lay[14]   transm_weight_lay[15]   transm_weight_lay[16]   transm_weight_lay[17]   transm_weight_lay[18]   transm_weight_lay[19]   transm_weight_lay[20]   transm_weight_lay[21]   transm_weight_lay[22]   transm_weight_lay[23]   transm_weight_lay[24]   transm_weight_lay[25]   transm_weight_lay[26]   transm_weight_lay[27]   transm_weight_lay[28]   transm_weight_lay[29]   transm_weight_lay[30]   transm_weight_lay[31]   transm_weight_lay[32]   transm_weight_lay[33]   transm_weight_lay[34]   transm_weight_lay[35]   transm_weight_lay[36]   transm_weight_lay[37]   transm_weight_lay[38]   transm_weight_lay[39]   transm_weight_lay[40]   transm_weight_lay[41]   transm_weight_lay[42]   transm_weight_lay[43]   transm_weight_lay[44]   transm_weight_lay[45]   transm_weight_lay[46]   transm_weight_lay[47]   transm_weight_lay[48]   transm_weight_lay[49]   transm_weight_lay[50]   transm_weight_lay[51]   transm_weight_lay[52]   transm_weight_lay[53]   transm_weight_lay[54]   transm_weight_lay[55]   transm_weight_lay[56]   transm_weight_lay[57]   transm_weight_lay[58]   transm_weight_lay[59]   transm_weight_lay[60]   transm_weight_lay[61]   transm_weight_lay[62]   transm_weight_lay[63]   transm_weight_lay[64]   transm_weight_lay[65]   transm_weight_lay[66]   transm_weight_lay[67]   transm_weight_lay[68]   transm_weight_lay[69]   transm_weight_lay[70]   transm_weight_lay[71]   transm_weight_lay[72]   transm_weight_lay[73]   transm_weight_lay[74]   transm_weight_lay[75]   transm_weight_lay[76]   transm_weight_lay[77]   transm_weight_lay[78]   transm_weight_lay[79]   transm_weight_lay[80]   transm_weight_lay[81]   transm_weight_lay[82]   transm_weight_lay[83]   transm_weight_lay[84]   transm_weight_lay[85]   transm_weight_lay[86]   transm_weight_lay[87]   transm_weight_lay[88]   transm_weight_lay[89]   transm_weight_lay[90]   transm_weight_lay[91]   transm_weight_lay[92]   transm_weight_lay[93]   transm_weight_lay[94]   transm_weight_lay[95]   
0       0.01              0.00899745971        0.00200508058      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
1       0.0120050806      0.0110025403         0.00220609798      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
2       0.014412196       0.0132086383         0.00264843841      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
3       0.0173019574      0.0158570767         0.00317947165      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
4       0.0207711393      0.0190365483         0.00381698133      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
5       0.02493592        0.0228535297         0.00458231684      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
6       0.0299357729      0.0274358465         0.00550110829      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
7       0.0359381366      0.0329369548         0.00660412483      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
8       0.0431440226      0.0395410796         0.00792830508      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
9       0.0517947468      0.0474693847         0.00951799413      1.18989e-70              4.48821e-57              3.91425e-46              2.56267e-37              3.26159e-30              1.73033e-24              7.10881e-20              3.71058e-16              3.67336e-13              9.50885e-11              8.3235e-09               3.02814e-07              5.39547e-06              5.3791e-05               0.000333967              0.0014097                0.00434591               0.010375                 0.0201277                0.0329906                0.0471848                0.060423                 0.0707659                0.0771081                0.0792518                0.0777201                0.0733644                0.0671721                0.0599943                0.0525265                0.045256                 0.0384853                0.0323924                0.0270311                0.0224075                0.0184718                0.0151604                0.0123991                0.0101105                0.00822671               0.00668041               0.00541728               0.00438739               0.0035498                0.00287004               0.00231866               0.00187262               0.00151152               0.00121977               0.00098403               0.000793656              0.000640054              0.000516028              0.000416075              0.000335399              0.00027037               0.000217929              0.000175644              0.000141572              0.000114088              9.19554e-05              7.41043e-05              5.97218e-05              4.81294e-05              3.87845e-05              3.12573e-05              2.51867e-05              2.02988e-05              1.63573e-05              1.31818e-05              1.06228e-05              8.55985e-06              6.89843e-06              5.5586e-06               4.47973e-06              3.60986e-06              2.909e-06                2.34426e-06              1.88898e-06              1.52234e-06              1.22667e-06              9.88572e-07              7.96614e-07              6.41943e-07              5.17321e-07              4.16847e-07              3.35942e-07              2.70696e-07              2.18152e-07              1.75793e-07              1.41659e-07              1.14159e-07              9.19864e-08              7.41334e-08              5.97359e-08              4.81402e-08              
